date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2010,northeast,New York,9080,77886,50.3,2.6,0.6,0.3,1.3,1.3,57,58172,7371,4163,597,996,437,858,1274,3208,522,23154,15479,9312,5360,807,4273,1384,610,1408,2596,7843,1891,2006,2813,1133,3089,2512,679,113,1654,249,763,1473,6155,357,5798
2010,northeast,Philadelphia,2527,67320,50.5,2.3,0.5,0.3,1.2,1.5,69,50985,5997,3577,529,734,411,625,1278,2419,492,19810,12008,8158,3218,631,4442,1201,701,1460,1771,7337,2289,2147,2457,444,3086,2385,600,136,1457,282,1260,1268,5105,248,4857
2006,northeast,All consumer units in the Northeast,22570,67060,50.1,2.4,0.6,0.3,1.3,1.6,65,50703,6320,3529,486,825,390,641,1187,2791,513,18408,11335,7452,3039,843,3707,971,579,1815,2069,8107,2703,1994,2722,688,2618,2666,583,134,1121,346,855,1445,5517,338,5179
2008,south,All consumer units in the South,43758,58761,49.4,2.5,0.6,0.3,1.3,1.9,68,46287,6026,3488,471,836,380,580,1221,2539,379,15332,8502,5628,2329,544,3701,940,656,1533,1779,7941,2669,2519,2431,322,2940,2489,586,86,808,359,755,1718,5087,310,4777
2011,northeast,New York,8922,80222,50.5,2.6,0.6,0.4,1.3,1.3,56,58658,7274,4185,601,1004,438,870,1272,3089,448,23315,15631,9208,5536,887,4211,1543,603,1327,2281,8031,2031,2208,2650,1142,3294,2474,692,104,1790,259,842,1502,6352,363,5990
2011,northeast,Philadelphia,2599,71691,51.2,2.3,0.5,0.3,1.2,1.4,67,53546,6788,3909,605,817,446,697,1344,2879,548,20302,12204,8221,3317,666,4465,1432,720,1481,1889,7688,2266,2424,2518,480,3408,2739,652,159,1346,282,701,1693,5352,210,5142
2009,south,All consumer units in the South,44134,58733,49.7,2.5,0.6,0.3,1.2,1.9,68,44978,5794,3407,462,795,354,585,1211,2386,347,15137,8322,5420,2357,546,3795,954,627,1439,1645,7496,2666,2166,2343,321,3036,2406,579,82,758,397,742,1662,4897,292,4605
2010,south,All consumer units in the South,44675,58802,50,2.5,0.6,0.3,1.2,1.9,68,44978,5813,3421,466,787,348,601,1218,2393,356,14940,8116,5169,2429,518,3872,962,577,1412,1561,7929,2728,2513,2358,331,3101,2353,586,84,689,396,688,1623,4858,296,4562
2007,south,All consumer units in the South,43424,58555,49,2.5,0.6,0.3,1.3,1.9,69,46149,5946,3404,455,807,380,566,1196,2543,386,15095,8357,5683,2185,488,3604,922,620,1592,1733,8484,2969,2731,2434,349,2825,2417,573,88,770,328,698,1753,5054,310,4744
2008,south,Baltimore,985,84177,50.4,2.4,0.5,0.3,1.4,1.9,68,52452,5931,3300,446,853,356,597,1049,2630,353,20795,13617,9623,3329,665,4209,879,860,1230,1511,6621,1452,2444,2178,547,2973,2591,650,80,1472,242,659,1461,7112,400,6712
